"Team","Match Up","Game Date","W/L","MIN","OffRtg","DefRtg","NetRtg","AST%","AST/TO","ASTRatio","OREB%","DREB%","REB%","TOV%","eFG%","TS%","PACE","PIE"
"ATL","ATL vs. DET","10/27/2015","L","48","96.9","107.1","-10.2","59.5","1.47","17.5","15.2","55.6","38.5","15.5","50.0","53.0","98.00","46.2"
"CLE","CLE @ CHI","10/27/2015","L","48","96.9","99.0","-2.0","68.4","2.36","18.7","27.6","75.9","50.9","11.2","45.2","46.8","98.00","52.1"
"DET","DET @ ATL","10/27/2015","W","48","107.1","96.9","10.2","62.2","1.53","15.5","44.4","84.8","61.5","15.2","44.8","49.3","98.00","53.8"
"GSW","GSW vs. NOP","10/27/2015","W","48","107.8","93.1","14.6","70.7","1.45","18.7","44.6","74.5","58.9","19.4","47.4","52.5","102.50","62.5"
"NOP","NOP @ GSW","10/27/2015","L","48","93.1","107.8","-14.6","60.0","1.11","15.6","25.5","55.4","41.1","18.6","45.8","50.1","102.50","37.5"
"CHI","CHI vs. CLE","10/27/2015","W","48","99.0","96.9","2.0","35.1","1.00","10.6","24.1","72.4","49.1","13.3","46.6","49.9","98.00","47.9"
"NOP","NOP @ POR","10/28/2015","L","48","94.0","110.9","-16.9","52.8","1.73","14.8","17.5","82.2","46.1","11.0","45.6","47.5","100.50","37.6"
"CLE","CLE @ MEM","10/28/2015","W","48","108.2","78.4","29.8","70.7","1.53","20.7","31.9","78.6","57.3","19.4","56.5","57.9","97.50","70.0"
"WAS","WAS @ ORL","10/28/2015","W","48","88.9","87.9","1.0","51.5","0.94","12.8","30.4","60.3","46.2","18.2","43.5","46.3","99.00","51.8"
"HOU","HOU vs. DEN","10/28/2015","L","48","85.9","106.1","-20.2","56.7","1.00","12.6","30.6","71.4","47.1","17.2","39.1","43.2","99.00","35.4"
"DAL","DAL @ PHX","10/28/2015","W","48","106.7","92.2","14.5","60.0","3.00","17.9","12.2","71.7","45.0","7.7","52.9","56.3","103.50","67.7"
